big5_openness,big5_conscientiousness,big5_extraversion,big5_agreeableness,big5_neuroticism,class_label
0.3248756,0.899516017,0.12778347,0.20925024,0.216258828,micro-oop
0.3248756,0.899516017,0.12778347,0.20925024,0.216258828,oop
0.215033852,0.518942862,0.08550551,0.058149025,0.532572243,oop
0.30716875,0.513724696,0.098802042,0.02312458,0.657454851,oop
0.370592714,0.091605566,0.085106814,0.048429228,0.447233069,micro-oop
0.370592714,0.091605566,0.085106814,0.048429228,0.447233069,database
0.646227144,0.406558686,0.019714224,0.024757577,0.787075037,mobile
0.646227144,0.406558686,0.019714224,0.024757577,0.787075037,oop
0.462596184,0.282851491,0.096246079,0.042993039,0.573424428,oop
0.385566264,0.220505993,0.082085246,0.066844008,0.618286074,web-pro
0.385566264,0.220505993,0.082085246,0.066844008,0.618286074,oop
0.522900452,0.187934289,0.018164632,0.00817651,0.590277469,micro-oop
0.522900452,0.187934289,0.018164632,0.00817651,0.590277469,web-pro
0.605952175,0.34647533,0.059813464,0.028356487,0.702664043,oop
0.470923096,0.231746804,0.062045,0.11960002,0.566690128,oop
0.145636726,0.458468008,0.103011164,0.111742602,0.415788444,micro-oop
0.145636726,0.458468008,0.103011164,0.111742602,0.415788444,oop
0.770108428,0.209751601,0.025391682,0.006453159,0.55164156,web-pro
0.770108428,0.209751601,0.025391682,0.006453159,0.55164156,micro-oop
0.770108428,0.209751601,0.025391682,0.006453159,0.55164156,web-des
0.366031786,0.212282618,0.122075691,0.054698162,0.540165594,micro-oop
0.366031786,0.212282618,0.122075691,0.054698162,0.540165594,oop
0.371836129,0.324593236,0.05700504,0.050951197,0.597217041,web-pro
0.033077159,0.433863708,0.12843346,0.060756268,0.300775156,micro-oop
0.033077159,0.433863708,0.12843346,0.060756268,0.300775156,web-pro
0.095575967,0.432838735,0.338527497,0.084076587,0.147006539,oop
0.095575967,0.432838735,0.338527497,0.084076587,0.147006539,web-pro
0.746207752,0.257541253,0.127178587,0.014837332,0.51024587,micro-oop
0.241150649,0.206011779,0.135707327,0.06142445,0.564606358,web-pro
0.241150649,0.206011779,0.135707327,0.06142445,0.564606358,web-des
0.241150649,0.206011779,0.135707327,0.06142445,0.564606358,micro-oop
0.123912282,0.542709057,0.134790842,0.029398736,0.813526488,web-pro
0.409704903,0.111524122,0.097824326,0.083280698,0.460031614,web-des
0.409704903,0.111524122,0.097824326,0.083280698,0.460031614,web-pro
0.627167158,0.35961962,0.078243971,0.014635735,0.529198894,oop
0.143726327,0.383274041,0.232103746,0.166023534,0.433916277,oop
0.254565182,0.281819822,0.29755694,0.152671155,0.459079094,oop
0.254565182,0.281819822,0.29755694,0.152671155,0.459079094,micro-oop
0.311342171,0.421122945,0.075187155,0.027171644,0.518212807,oop
0.311342171,0.421122945,0.075187155,0.027171644,0.518212807,database
0.311342171,0.421122945,0.075187155,0.027171644,0.518212807,web-pro
0.438499755,0.410370118,0.085602165,0.008722591,0.315560278,oop
0.297408925,0.372177055,0.112016895,0.100602338,0.491858382,micro-oop
0.297408925,0.372177055,0.112016895,0.100602338,0.491858382,oop
